Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,22uF,C12891
"C10, C7, C8",0805,3,100nF,C28233
"C3, C4",0402,2,10pF,C32949
"C5, C6",0402,2,12pF,C1547
C9,0805,1,10nF,C18741
FB1,0805,1,BLM21PG221SN1D,C85840
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
J2,PinHeader_2x20_P2.54mm_Vertical_SMD,1,Raspberry_Pi_2_3,
"R1, R2",0402,2,5K1,C25905
R3,0402,1,10k,C25744
SW1,SW_SPST_B3U-1000P,1,SW_Push,C231329
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,C2847904
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 KHz,C32346
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"8 MHz, 10ppm",  C400090
